model_id	variant_tag	time_limit	language	content_mode	group_key	group_value	count	correct	accuracy	latency_avg	latency_p50	latency_p95	latency_p99	prompt_tokens	completion_tokens	total_tokens	score	prompt_cost	completion_cost	total_cost
openai/gpt-5-codex	openai	off	en	text_only	prob_area	기하	8	8	1.0	109.3075125	54.573800000000006	301.3818299999999	317.5664459999999	2812	40583	43395	26.0	0.0035150000000000003	0.40583	0.40934499999999996
openai/gpt-5-codex	openai	off	en	text_only	prob_area	미적분	8	8	1.0	185.52835	29.8656	828.4767399999994	1139.1243079999997	2817	62958	65775	26.0	0.00352125	0.6295799999999999	0.63310125
openai/gpt-5-codex	openai	off	en	text_only	prob_area	수학1	11	11	1.0	75.13271818181818	17.5847	312.7371	396.20078000000007	3600	42039	45639	36.0	0.0045	0.42038999999999993	0.42489
openai/gpt-5-codex	openai	off	en	text_only	prob_area	수학2	11	10	0.9090909090909091	155.1249909090909	20.4753	764.1277	1231.3037800000004	3421	83660	87081	34.0	0.00427625	0.8366	0.84087625
openai/gpt-5-codex	openai	off	en	text_only	prob_area	확률과통계	8	8	1.0	70.731625	30.638849999999998	244.26121999999987	306.2887239999999	2862	20629	23491	26.0	0.0035775	0.20629	0.20986749999999998
openai/gpt-5-codex	openai	off	en	image_only	prob_area	기하	8	8	1.0	201.7074	156.204	540.2273149999999	601.5414629999999	6726	49294	56020	26.0	0.0084075	0.49293999999999993	0.5013475
openai/gpt-5-codex	openai	off	en	image_only	prob_area	미적분	8	7	0.875	273.2238875	56.96155	1129.032024999999	1536.5486449999996	6594	73176	79770	22.0	0.008242500000000002	0.73176	0.7400024999999999
openai/gpt-5-codex	openai	off	en	image_only	prob_area	수학1	11	11	1.0	60.627281818181814	17.771	194.65285	212.32409	10207	21883	32090	36.0	0.012758750000000001	0.21883000000000002	0.23158875
openai/gpt-5-codex	openai	off	en	image_only	prob_area	수학2	11	11	1.0	70.83080909090909	26.4165	266.532	271.11968	10910	26442	37352	38.0	0.013637499999999999	0.26442000000000004	0.27805750000000007
openai/gpt-5-codex	openai	off	en	image_only	prob_area	확률과통계	8	8	1.0	70.325375	36.307500000000005	226.5695249999999	273.88854499999997	7286	16207	23493	26.0	0.009107500000000001	0.16207000000000002	0.17117750000000004
openai/gpt-5-codex	openai	off	en	text_fig	prob_area	기하	8	8	1.0	165.8588	110.94395	434.2547249999999	491.27294499999994	4702	42304	47006	26.0	0.0058775	0.42304	0.4289175
openai/gpt-5-codex	openai	off	en	text_fig	prob_area	미적분	8	8	1.0	122.91526250000001	34.79875	502.97230499999966	688.9443009999999	3727	40929	44656	26.0	0.0046587500000000006	0.40929	0.41394875000000003
openai/gpt-5-codex	openai	off	en	text_fig	prob_area	수학1	11	11	1.0	135.69022727272727	13.0827	661.5792	1010.1701600000004	32297	25686	57983	36.0	0.040371250000000004	0.25686000000000003	0.29723125
openai/gpt-5-codex	openai	off	en	text_fig	prob_area	수학2	11	11	1.0	164.506	20.1238	832.15765	1306.1285700000005	3421	72667	76088	38.0	0.00427625	0.72667	0.73094625
openai/gpt-5-codex	openai	off	en	text_fig	prob_area	확률과통계	8	8	1.0	64.7356875	25.591700000000003	225.11620999999988	278.75340199999994	4122	20552	24674	26.0	0.005152499999999999	0.20551999999999998	0.21067249999999998
openai/gpt-5-codex	openai	off	ko	text_only	prob_area	기하	8	8	1.0	121.1363	80.43345	285.10493499999995	304.972027	3364	38662	42026	26.0	0.0042049999999999995	0.38661999999999996	0.390825
openai/gpt-5-codex	openai	off	ko	text_only	prob_area	미적분	8	8	1.0	128.757975	38.955	501.4623449999997	676.3725489999998	3369	44469	47838	26.0	0.00421125	0.44469000000000003	0.44890125
openai/gpt-5-codex	openai	off	ko	text_only	prob_area	수학1	11	11	1.0	108.40448181818182	14.4644	522.06925	694.6466500000002	4359	47757	52116	36.0	0.0054487500000000005	0.47756999999999994	0.48301875
openai/gpt-5-codex	openai	off	ko	text_only	prob_area	수학2	11	11	1.0	64.16874545454546	23.0607	281.9441	325.31714	4180	27657	31837	38.0	0.005225	0.27657	0.281795
openai/gpt-5-codex	openai	off	ko	text_only	prob_area	확률과통계	8	8	1.0	54.48335	24.2634	174.42652999999993	218.84242599999996	3414	19206	22620	26.0	0.0042675000000000005	0.19206	0.1963275
openai/gpt-5-codex	openai	off	ko	image_only	prob_area	기하	8	8	1.0	274.387	132.1788	732.0957599999999	759.5459519999999	7278	66454	73732	26.0	0.0090975	0.66454	0.6736375000000001
openai/gpt-5-codex	openai	off	ko	image_only	prob_area	미적분	8	8	1.0	206.6632375	83.05160000000001	782.7148849999994	1055.8220969999998	7146	54598	61744	26.0	0.0089325	0.5459799999999999	0.5549125
openai/gpt-5-codex	openai	off	ko	image_only	prob_area	수학1	11	11	1.0	108.3153	21.1695	441.3352	637.7958400000001	10966	37832	48798	36.0	0.013707500000000001	0.37832000000000005	0.39202750000000003
openai/gpt-5-codex	openai	off	ko	image_only	prob_area	수학2	11	11	1.0	101.28933636363637	31.9036	424.58840000000004	521.4146400000001	11669	37198	48867	38.0	0.014586250000000002	0.37198	0.38656625
openai/gpt-5-codex	openai	off	ko	image_only	prob_area	확률과통계	8	8	1.0	159.0407375	38.991150000000005	601.1525699999997	738.7389139999999	7838	38160	45998	26.0	0.0097975	0.3816	0.3913975
openai/gpt-5-codex	openai	off	ko	text_fig	prob_area	기하	8	8	1.0	152.1332	86.08699999999999	441.8259649999999	505.13511299999993	5254	41884	47138	26.0	0.0065675	0.41884	0.4254075
openai/gpt-5-codex	openai	off	ko	text_fig	prob_area	미적분	8	8	1.0	242.46249999999998	42.7362	1101.088234999999	1535.5070869999995	4279	68923	73202	26.0	0.00534875	0.68923	0.69457875
openai/gpt-5-codex	openai	off	ko	text_fig	prob_area	수학1	11	11	1.0	98.70248181818182	16.943	444.82885	571.7793700000001	5619	46268	51887	36.0	0.0070237500000000005	0.46268	0.46970375
openai/gpt-5-codex	openai	off	ko	text_fig	prob_area	수학2	11	11	1.0	52.047045454545454	21.7004	203.52554999999998	257.85991	4180	27886	32066	38.0	0.005225	0.27886	0.28408500000000003
openai/gpt-5-codex	openai	off	ko	text_fig	prob_area	확률과통계	8	8	1.0	72.34015000000001	27.44	231.60593499999996	255.647267	4674	19033	23707	26.0	0.0058425000000000005	0.19033	0.1961725
openai/gpt-5-codex	openai	on	en	text_only	prob_area	기하	8	8	1.0	91.76265	84.27575	205.91738499999997	220.072197	3468	33533	37001	26.0	0.0043349999999999994	0.33533	0.339665
openai/gpt-5-codex	openai	on	en	text_only	prob_area	미적분	8	8	1.0	114.0445375	32.7443	450.2286699999997	607.3041339999999	3473	40459	43932	26.0	0.0043412500000000005	0.40459	0.40893125
openai/gpt-5-codex	openai	on	en	text_only	prob_area	수학1	11	11	1.0	47.94389090909091	14.6844	160.35395	167.74591	4466	22697	27163	36.0	0.0055825	0.22697000000000003	0.2325525
openai/gpt-5-codex	openai	on	en	text_only	prob_area	수학2	11	10	0.9090909090909091	163.21692727272728	17.928	822.0586	1365.6010800000006	4305	84094	88399	34.0	0.00538125	0.84094	0.84632125
openai/gpt-5-codex	openai	on	en	text_only	prob_area	확률과통계	8	8	1.0	73.5827625	16.7019	268.11798499999986	329.35423699999996	3517	22398	25915	26.0	0.00439625	0.22397999999999998	0.22837625
openai/gpt-5-codex	openai	on	en	image_only	prob_area	기하	8	8	1.0	252.4686125	150.45575	719.2913649999998	782.8681929999999	7382	67982	75364	26.0	0.0092275	0.6798199999999999	0.6890475
openai/gpt-5-codex	openai	on	en	image_only	prob_area	미적분	8	7	0.875	304.5854625	85.07525	1264.9913299999992	1717.6808259999996	8085	16513	24598	22.0	0.01010625	0.16513000000000003	0.17523625
